device_id,screen_on_timestamp_unix,screen_on_timestamp_dt,screen_off_timestamp_unix,screen_off_timestamp_dt,screen_duration,unique_foreground_app_count,foreground_app_count,foreground_app_switch_count,foreground_app_switch_per_hour,foreground_app_duration_sum,unique_foreground_app_duration_max,concentration_ratio,foreground_apps_and_durations,unique_foreground_apps_and_durations,genres_and_durations
4f156a53a8911325,1776641354,2026-04-20 08:29:14,1776641971,2026-04-20 08:39:31,617,2,3,2,354.94208,20.285,13.327,0.6569879,com.sec.android.app.launcher:4.6|com.ktshow.cs:13.3|com.sec.android.app.launcher:2.4,com.ktshow.cs:13.3|com.sec.android.app.launcher:7.0,ART_AND_DESIGN:0.0|AUTO_AND_VEHICLES:0.0|ANDROID_WEAR:0.0|BEAUTY:0.0|BOOKS_AND_REFERENCE:0.0|BUSINESS:0.0|COMICS:0.0|COMMUNICATION:0.0|DATING:0.0|EDUCATION:0.0|ENTERTAINMENT:0.0|EVENTS:0.0|FINANCE:0.0|FOOD_AND_DRINK:0.0|HEALTH_AND_FITNESS:0.0|HOUSE_AND_HOME:0.0|LIBRARIES_AND_DEMO:0.0|LIFESTYLE:13.3|MAPS_AND_NAVIGATION:0.0|MEDICAL:0.0|MUSIC_AND_AUDIO:0.0|NEWS_AND_MAGAZINES:0.0|PARENTING:0.0|PERSONALIZATION:7.0|PHOTOGRAPHY:0.0|PRODUCTIVITY:0.0|SHOPPING:0.0|SOCIAL:0.0|SPORTS:0.0|TOOLS:0.0|TRAVEL_AND_LOCAL:0.0|VIDEO_PLAYERS:0.0|WATCH_FACE:0.0|WEATHER:0.0|GAME:0.0|GAME_ACTION:0.0|GAME_ADVENTURE:0.0|GAME_ARCADE:0.0|GAME_BOARD:0.0|GAME_CARD:0.0|GAME_CASINO:0.0|GAME_CASUAL:0.0|GAME_EDUCATIONAL:0.0|GAME_MUSIC:0.0|GAME_PUZZLE:0.0|GAME_RACING:0.0|GAME_ROLE_PLAYING:0.0|GAME_SIMULATION:0.0|GAME_SPORTS:0.0|GAME_STRATEGY:0.0|GAME_TRIVIA:0.0|GAME_WORD:0.0|FAMILY:0.0|OTHER:0.0
4f156a53a8911325,1777171629,2026-04-26 11:47:09,1777173552,2026-04-26 12:19:12,1923,3,8,7,6.7491693,3733.793,1856.136,0.4971181,com.sec.android.app.launcher:13.6|com.google.android.youtube:47.4|com.sec.android.app.launcher:7.9|com.android.chrome:1856.1|com.sec.android.app.launcher:1.7|com.google.android.youtube:1.3|com.sec.android.app.launcher:5.8|com.google.android.youtube:1800.0,com.android.chrome:1856.1|com.google.android.youtube:1848.7|com.sec.android.app.launcher:29.0,ART_AND_DESIGN:0.0|AUTO_AND_VEHICLES:0.0|ANDROID_WEAR:0.0|BEAUTY:0.0|BOOKS_AND_REFERENCE:0.0|BUSINESS:0.0|COMICS:0.0|COMMUNICATION:1856.1|DATING:0.0|EDUCATION:0.0|ENTERTAINMENT:0.0|EVENTS:0.0|FINANCE:0.0|FOOD_AND_DRINK:0.0|HEALTH_AND_FITNESS:0.0|HOUSE_AND_HOME:0.0|LIBRARIES_AND_DEMO:0.0|LIFESTYLE:0.0|MAPS_AND_NAVIGATION:0.0|MEDICAL:0.0|MUSIC_AND_AUDIO:0.0|NEWS_AND_MAGAZINES:0.0|PARENTING:0.0|PERSONALIZATION:29.0|PHOTOGRAPHY:0.0|PRODUCTIVITY:0.0|SHOPPING:0.0|SOCIAL:0.0|SPORTS:0.0|TOOLS:0.0|TRAVEL_AND_LOCAL:0.0|VIDEO_PLAYERS:1848.7|WATCH_FACE:0.0|WEATHER:0.0|GAME:0.0|GAME_ACTION:0.0|GAME_ADVENTURE:0.0|GAME_ARCADE:0.0|GAME_BOARD:0.0|GAME_CARD:0.0|GAME_CASINO:0.0|GAME_CASUAL:0.0|GAME_EDUCATIONAL:0.0|GAME_MUSIC:0.0|GAME_PUZZLE:0.0|GAME_RACING:0.0|GAME_ROLE_PLAYING:0.0|GAME_SIMULATION:0.0|GAME_SPORTS:0.0|GAME_STRATEGY:0.0|GAME_TRIVIA:0.0|GAME_WORD:0.0|FAMILY:0.0|OTHER:0.0
4f156a53a8911325,1777287916,2026-04-27 20:05:16,1777288307,2026-04-27 20:11:47,391,2,10,10,82.53871,436.159,271.288,0.62199336,com.sec.android.app.launcher:17.8|com.android.chrome:223.2|com.sec.android.app.launcher:3.8|com.sec.android.app.launcher:5.9|com.sec.android.app.launcher:2.3|com.android.chrome:2.9|com.sec.android.app.launcher:135.1|com.android.chrome:42.2|com.android.chrome:1.6|com.android.chrome:1.5,com.android.chrome:271.3|com.sec.android.app.launcher:164.9,ART_AND_DESIGN:0.0|AUTO_AND_VEHICLES:0.0|ANDROID_WEAR:0.0|BEAUTY:0.0|BOOKS_AND_REFERENCE:0.0|BUSINESS:0.0|COMICS:0.0|COMMUNICATION:271.3|DATING:0.0|EDUCATION:0.0|ENTERTAINMENT:0.0|EVENTS:0.0|FINANCE:0.0|FOOD_AND_DRINK:0.0|HEALTH_AND_FITNESS:0.0|HOUSE_AND_HOME:0.0|LIBRARIES_AND_DEMO:0.0|LIFESTYLE:0.0|MAPS_AND_NAVIGATION:0.0|MEDICAL:0.0|MUSIC_AND_AUDIO:0.0|NEWS_AND_MAGAZINES:0.0|PARENTING:0.0|PERSONALIZATION:164.9|PHOTOGRAPHY:0.0|PRODUCTIVITY:0.0|SHOPPING:0.0|SOCIAL:0.0|SPORTS:0.0|TOOLS:0.0|TRAVEL_AND_LOCAL:0.0|VIDEO_PLAYERS:0.0|WATCH_FACE:0.0|WEATHER:0.0|GAME:0.0|GAME_ACTION:0.0|GAME_ADVENTURE:0.0|GAME_ARCADE:0.0|GAME_BOARD:0.0|GAME_CARD:0.0|GAME_CASINO:0.0|GAME_CASUAL:0.0|GAME_EDUCATIONAL:0.0|GAME_MUSIC:0.0|GAME_PUZZLE:0.0|GAME_RACING:0.0|GAME_ROLE_PLAYING:0.0|GAME_SIMULATION:0.0|GAME_SPORTS:0.0|GAME_STRATEGY:0.0|GAME_TRIVIA:0.0|GAME_WORD:0.0|FAMILY:0.0|OTHER:0.0
4f156a53a8911325,1777297595,2026-04-27 22:46:35,1777298204,2026-04-27 22:56:44,609,2,2,1,5.9516335,604.876,599.887,0.9917521,com.sec.android.app.launcher:5.0|com.google.android.youtube:599.9,com.google.android.youtube:599.9|com.sec.android.app.launcher:5.0,ART_AND_DESIGN:0.0|AUTO_AND_VEHICLES:0.0|ANDROID_WEAR:0.0|BEAUTY:0.0|BOOKS_AND_REFERENCE:0.0|BUSINESS:0.0|COMICS:0.0|COMMUNICATION:0.0|DATING:0.0|EDUCATION:0.0|ENTERTAINMENT:0.0|EVENTS:0.0|FINANCE:0.0|FOOD_AND_DRINK:0.0|HEALTH_AND_FITNESS:0.0|HOUSE_AND_HOME:0.0|LIBRARIES_AND_DEMO:0.0|LIFESTYLE:0.0|MAPS_AND_NAVIGATION:0.0|MEDICAL:0.0|MUSIC_AND_AUDIO:0.0|NEWS_AND_MAGAZINES:0.0|PARENTING:0.0|PERSONALIZATION:5.0|PHOTOGRAPHY:0.0|PRODUCTIVITY:0.0|SHOPPING:0.0|SOCIAL:0.0|SPORTS:0.0|TOOLS:0.0|TRAVEL_AND_LOCAL:0.0|VIDEO_PLAYERS:599.9|WATCH_FACE:0.0|WEATHER:0.0|GAME:0.0|GAME_ACTION:0.0|GAME_ADVENTURE:0.0|GAME_ARCADE:0.0|GAME_BOARD:0.0|GAME_CARD:0.0|GAME_CASINO:0.0|GAME_CASUAL:0.0|GAME_EDUCATIONAL:0.0|GAME_MUSIC:0.0|GAME_PUZZLE:0.0|GAME_RACING:0.0|GAME_ROLE_PLAYING:0.0|GAME_SIMULATION:0.0|GAME_SPORTS:0.0|GAME_STRATEGY:0.0|GAME_TRIVIA:0.0|GAME_WORD:0.0|FAMILY:0.0|OTHER:0.0
4f156a53a8911325,1777328983,2026-04-28 07:29:43,1777330785,2026-04-28 07:59:45,1802,1,1,0,0.0,1800.011,1800.011,1.0,com.google.android.youtube:1800.0,com.google.android.youtube:1800.0,ART_AND_DESIGN:0.0|AUTO_AND_VEHICLES:0.0|ANDROID_WEAR:0.0|BEAUTY:0.0|BOOKS_AND_REFERENCE:0.0|BUSINESS:0.0|COMICS:0.0|COMMUNICATION:0.0|DATING:0.0|EDUCATION:0.0|ENTERTAINMENT:0.0|EVENTS:0.0|FINANCE:0.0|FOOD_AND_DRINK:0.0|HEALTH_AND_FITNESS:0.0|HOUSE_AND_HOME:0.0|LIBRARIES_AND_DEMO:0.0|LIFESTYLE:0.0|MAPS_AND_NAVIGATION:0.0|MEDICAL:0.0|MUSIC_AND_AUDIO:0.0|NEWS_AND_MAGAZINES:0.0|PARENTING:0.0|PERSONALIZATION:0.0|PHOTOGRAPHY:0.0|PRODUCTIVITY:0.0|SHOPPING:0.0|SOCIAL:0.0|SPORTS:0.0|TOOLS:0.0|TRAVEL_AND_LOCAL:0.0|VIDEO_PLAYERS:1800.0|WATCH_FACE:0.0|WEATHER:0.0|GAME:0.0|GAME_ACTION:0.0|GAME_ADVENTURE:0.0|GAME_ARCADE:0.0|GAME_BOARD:0.0|GAME_CARD:0.0|GAME_CASINO:0.0|GAME_CASUAL:0.0|GAME_EDUCATIONAL:0.0|GAME_MUSIC:0.0|GAME_PUZZLE:0.0|GAME_RACING:0.0|GAME_ROLE_PLAYING:0.0|GAME_SIMULATION:0.0|GAME_SPORTS:0.0|GAME_STRATEGY:0.0|GAME_TRIVIA:0.0|GAME_WORD:0.0|FAMILY:0.0|OTHER:0.0
4f156a53a8911325,1777428309,2026-04-29 11:05:09,1777428912,2026-04-29 11:15:12,603,1,1,0,0.0,601.551,601.551,1.0,com.google.android.youtube:601.6,com.google.android.youtube:601.6,ART_AND_DESIGN:0.0|AUTO_AND_VEHICLES:0.0|ANDROID_WEAR:0.0|BEAUTY:0.0|BOOKS_AND_REFERENCE:0.0|BUSINESS:0.0|COMICS:0.0|COMMUNICATION:0.0|DATING:0.0|EDUCATION:0.0|ENTERTAINMENT:0.0|EVENTS:0.0|FINANCE:0.0|FOOD_AND_DRINK:0.0|HEALTH_AND_FITNESS:0.0|HOUSE_AND_HOME:0.0|LIBRARIES_AND_DEMO:0.0|LIFESTYLE:0.0|MAPS_AND_NAVIGATION:0.0|MEDICAL:0.0|MUSIC_AND_AUDIO:0.0|NEWS_AND_MAGAZINES:0.0|PARENTING:0.0|PERSONALIZATION:0.0|PHOTOGRAPHY:0.0|PRODUCTIVITY:0.0|SHOPPING:0.0|SOCIAL:0.0|SPORTS:0.0|TOOLS:0.0|TRAVEL_AND_LOCAL:0.0|VIDEO_PLAYERS:601.6|WATCH_FACE:0.0|WEATHER:0.0|GAME:0.0|GAME_ACTION:0.0|GAME_ADVENTURE:0.0|GAME_ARCADE:0.0|GAME_BOARD:0.0|GAME_CARD:0.0|GAME_CASINO:0.0|GAME_CASUAL:0.0|GAME_EDUCATIONAL:0.0|GAME_MUSIC:0.0|GAME_PUZZLE:0.0|GAME_RACING:0.0|GAME_ROLE_PLAYING:0.0|GAME_SIMULATION:0.0|GAME_SPORTS:0.0|GAME_STRATEGY:0.0|GAME_TRIVIA:0.0|GAME_WORD:0.0|FAMILY:0.0|OTHER:0.0
4f156a53a8911325,1777787731,2026-05-03 14:55:31,1777787818,2026-05-03 14:56:58,87,3,6,5,230.40884,78.122,48.393,0.6194542,com.google.android.youtube:10.2|com.sec.android.app.launcher:8.6|com.google.android.apps.docs:1.8|com.sec.android.app.launcher:9.4|com.google.android.apps.docs:46.6|com.sec.android.app.launcher:1.5,com.google.android.apps.docs:48.4|com.sec.android.app.launcher:19.6|com.google.android.youtube:10.2,ART_AND_DESIGN:0.0|AUTO_AND_VEHICLES:0.0|ANDROID_WEAR:0.0|BEAUTY:0.0|BOOKS_AND_REFERENCE:0.0|BUSINESS:0.0|COMICS:0.0|COMMUNICATION:0.0|DATING:0.0|EDUCATION:0.0|ENTERTAINMENT:0.0|EVENTS:0.0|FINANCE:0.0|FOOD_AND_DRINK:0.0|HEALTH_AND_FITNESS:0.0|HOUSE_AND_HOME:0.0|LIBRARIES_AND_DEMO:0.0|LIFESTYLE:0.0|MAPS_AND_NAVIGATION:0.0|MEDICAL:0.0|MUSIC_AND_AUDIO:0.0|NEWS_AND_MAGAZINES:0.0|PARENTING:0.0|PERSONALIZATION:19.6|PHOTOGRAPHY:0.0|PRODUCTIVITY:48.4|SHOPPING:0.0|SOCIAL:0.0|SPORTS:0.0|TOOLS:0.0|TRAVEL_AND_LOCAL:0.0|VIDEO_PLAYERS:10.2|WATCH_FACE:0.0|WEATHER:0.0|GAME:0.0|GAME_ACTION:0.0|GAME_ADVENTURE:0.0|GAME_ARCADE:0.0|GAME_BOARD:0.0|GAME_CARD:0.0|GAME_CASINO:0.0|GAME_CASUAL:0.0|GAME_EDUCATIONAL:0.0|GAME_MUSIC:0.0|GAME_PUZZLE:0.0|GAME_RACING:0.0|GAME_ROLE_PLAYING:0.0|GAME_SIMULATION:0.0|GAME_SPORTS:0.0|GAME_STRATEGY:0.0|GAME_TRIVIA:0.0|GAME_WORD:0.0|FAMILY:0.0|OTHER:0.0
4f156a53a8911325,1777788077,2026-05-03 15:01:17,1777788101,2026-05-03 15:01:41,24,1,4,0,0.0,12.315,12.315,1.0,com.sec.android.app.launcher:2.2|com.sec.android.app.launcher:3.1|com.sec.android.app.launcher:2.5|com.sec.android.app.launcher:4.6,com.sec.android.app.launcher:12.3,ART_AND_DESIGN:0.0|AUTO_AND_VEHICLES:0.0|ANDROID_WEAR:0.0|BEAUTY:0.0|BOOKS_AND_REFERENCE:0.0|BUSINESS:0.0|COMICS:0.0|COMMUNICATION:0.0|DATING:0.0|EDUCATION:0.0|ENTERTAINMENT:0.0|EVENTS:0.0|FINANCE:0.0|FOOD_AND_DRINK:0.0|HEALTH_AND_FITNESS:0.0|HOUSE_AND_HOME:0.0|LIBRARIES_AND_DEMO:0.0|LIFESTYLE:0.0|MAPS_AND_NAVIGATION:0.0|MEDICAL:0.0|MUSIC_AND_AUDIO:0.0|NEWS_AND_MAGAZINES:0.0|PARENTING:0.0|PERSONALIZATION:12.3|PHOTOGRAPHY:0.0|PRODUCTIVITY:0.0|SHOPPING:0.0|SOCIAL:0.0|SPORTS:0.0|TOOLS:0.0|TRAVEL_AND_LOCAL:0.0|VIDEO_PLAYERS:0.0|WATCH_FACE:0.0|WEATHER:0.0|GAME:0.0|GAME_ACTION:0.0|GAME_ADVENTURE:0.0|GAME_ARCADE:0.0|GAME_BOARD:0.0|GAME_CARD:0.0|GAME_CASINO:0.0|GAME_CASUAL:0.0|GAME_EDUCATIONAL:0.0|GAME_MUSIC:0.0|GAME_PUZZLE:0.0|GAME_RACING:0.0|GAME_ROLE_PLAYING:0.0|GAME_SIMULATION:0.0|GAME_SPORTS:0.0|GAME_STRATEGY:0.0|GAME_TRIVIA:0.0|GAME_WORD:0.0|FAMILY:0.0|OTHER:0.0
4f156a53a8911325,1777858745,2026-05-04 10:39:05,1777859390,2026-05-04 10:49:50,645,3,5,4,11.432174,1259.603,625.186,0.49633572,com.sec.android.app.launcher:6.0|com.google.android.youtube:11.5|com.sec.android.app.launcher:6.6|com.android.chrome:622.9|com.sec.android.app.launcher:612.6,com.sec.android.app.launcher:625.2|com.android.chrome:622.9|com.google.android.youtube:11.5,ART_AND_DESIGN:0.0|AUTO_AND_VEHICLES:0.0|ANDROID_WEAR:0.0|BEAUTY:0.0|BOOKS_AND_REFERENCE:0.0|BUSINESS:0.0|COMICS:0.0|COMMUNICATION:622.9|DATING:0.0|EDUCATION:0.0|ENTERTAINMENT:0.0|EVENTS:0.0|FINANCE:0.0|FOOD_AND_DRINK:0.0|HEALTH_AND_FITNESS:0.0|HOUSE_AND_HOME:0.0|LIBRARIES_AND_DEMO:0.0|LIFESTYLE:0.0|MAPS_AND_NAVIGATION:0.0|MEDICAL:0.0|MUSIC_AND_AUDIO:0.0|NEWS_AND_MAGAZINES:0.0|PARENTING:0.0|PERSONALIZATION:625.2|PHOTOGRAPHY:0.0|PRODUCTIVITY:0.0|SHOPPING:0.0|SOCIAL:0.0|SPORTS:0.0|TOOLS:0.0|TRAVEL_AND_LOCAL:0.0|VIDEO_PLAYERS:11.5|WATCH_FACE:0.0|WEATHER:0.0|GAME:0.0|GAME_ACTION:0.0|GAME_ADVENTURE:0.0|GAME_ARCADE:0.0|GAME_BOARD:0.0|GAME_CARD:0.0|GAME_CASINO:0.0|GAME_CASUAL:0.0|GAME_EDUCATIONAL:0.0|GAME_MUSIC:0.0|GAME_PUZZLE:0.0|GAME_RACING:0.0|GAME_ROLE_PLAYING:0.0|GAME_SIMULATION:0.0|GAME_SPORTS:0.0|GAME_STRATEGY:0.0|GAME_TRIVIA:0.0|GAME_WORD:0.0|FAMILY:0.0|OTHER:0.0
4f156a53a8911325,1777876997,2026-05-04 15:43:17,1777877032,2026-05-04 15:43:52,35,3,12,10,1092.6641,32.947,17.53,0.5320667,com.sec.android.app.launcher:1.9|com.android.chrome:8.6|com.sec.android.app.launcher:2.8|com.google.android.youtube:2.0|com.sec.android.app.launcher:2.1|com.google.android.youtube:2.0|com.sec.android.app.launcher:2.6|com.android.chrome:1.5|com.sec.android.app.launcher:1.4|com.sec.android.app.launcher:4.1|com.google.android.youtube:1.3|com.sec.android.app.launcher:2.6,com.sec.android.app.launcher:17.5|com.android.chrome:10.0|com.google.android.youtube:5.4,ART_AND_DESIGN:0.0|AUTO_AND_VEHICLES:0.0|ANDROID_WEAR:0.0|BEAUTY:0.0|BOOKS_AND_REFERENCE:0.0|BUSINESS:0.0|COMICS:0.0|COMMUNICATION:10.0|DATING:0.0|EDUCATION:0.0|ENTERTAINMENT:0.0|EVENTS:0.0|FINANCE:0.0|FOOD_AND_DRINK:0.0|HEALTH_AND_FITNESS:0.0|HOUSE_AND_HOME:0.0|LIBRARIES_AND_DEMO:0.0|LIFESTYLE:0.0|MAPS_AND_NAVIGATION:0.0|MEDICAL:0.0|MUSIC_AND_AUDIO:0.0|NEWS_AND_MAGAZINES:0.0|PARENTING:0.0|PERSONALIZATION:17.5|PHOTOGRAPHY:0.0|PRODUCTIVITY:0.0|SHOPPING:0.0|SOCIAL:0.0|SPORTS:0.0|TOOLS:0.0|TRAVEL_AND_LOCAL:0.0|VIDEO_PLAYERS:5.4|WATCH_FACE:0.0|WEATHER:0.0|GAME:0.0|GAME_ACTION:0.0|GAME_ADVENTURE:0.0|GAME_ARCADE:0.0|GAME_BOARD:0.0|GAME_CARD:0.0|GAME_CASINO:0.0|GAME_CASUAL:0.0|GAME_EDUCATIONAL:0.0|GAME_MUSIC:0.0|GAME_PUZZLE:0.0|GAME_RACING:0.0|GAME_ROLE_PLAYING:0.0|GAME_SIMULATION:0.0|GAME_SPORTS:0.0|GAME_STRATEGY:0.0|GAME_TRIVIA:0.0|GAME_WORD:0.0|FAMILY:0.0|OTHER:0.0
